"STATION","NAME","DATE","AWND","PRCP","SNWD","TAVG","TMAX","TMIN"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-03","2.46","0.00","12.0","11","26","-4"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-04","2.24","0.00","12.0","14","31","-3"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-05","5.59","0.00","12.0","17","31","3"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-06","14.99","0.00","12.0","20","28","12"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-07","11.41","0.00","12.0","16","23","8"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-08","7.38","0.00","12.0","20","36","3"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-09","6.71","0.00","12.0","28","44","11"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-10","6.71","0.00","12.0","35","50","19"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-11","4.25","0.00","10.0","37","53","21"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-12","3.36","0.00","8.0","39","54","24"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-13","4.70","0.00","7.0","38","42","34"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-14","4.70","0.01","5.0","35","42","27"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-15","3.36","0.00","4.0","36","45","27"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-16","2.68","0.00","3.0","37","45","29"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-17","3.58","0.04","3.0","40","48","32"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-18","3.58","0.00","1.0","41","52","30"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-19","3.80","0.00","0.0","39","48","29"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-20","2.68","0.00","0.0","40","52","27"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-21","3.80","0.00","0.0","42","54","30"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-22","6.49","0.00","0.0","45","58","32"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-23","3.36","0.00","0.0","49","58","36"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-24","3.80","0.00","0.0","48","65","31"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-25","4.92","0.00","0.0","47","62","31"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-26","2.91","0.00","0.0","51","68","33"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-27","2.46","0.00","0.0","51","67","34"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-28","7.16","0.00","0.0","40","48","32"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-29","5.59","0.00","0.0","40","50","29"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-04-30","4.70","0.00","0.0","39","50","27"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-01","7.61","0.00","0.0","44","57","31"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-02","11.86","0.00","0.0","44","53","34"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-03","16.33","0.00","0.0","40","47","33"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-04","14.32","0.00","0.0","41","53","29"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-05","8.28","0.00","0.0","45","56","33"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-06","5.59","0.00","0.0","43","55","31"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-07","4.47","0.00","0.0","46","54","37"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-08","3.36","0.00","0.0","47","60","33"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-09","4.92","0.00","0.0","51","61","40"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-10","5.59","0.00","0.0","48","57","39"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-11","4.70","0.00","0.0","44","54","34"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-12","5.14","0.27","0.0","44","49","38"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-13","2.68","0.00","0.0","45","54","35"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-14","5.14","0.00","0.0","45","56","33"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-15","8.50","0.00","0.0","43","51","35"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-16","6.71","0.00","0.0","38","45","31"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-17","4.47","0.00","0.0","42","57","27"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-18","4.92","0.00","0.0","47","58","36"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-19","7.16","0.00","0.0","48","57","39"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-20","5.82","0.00","0.0","50","59","41"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-21","4.70","0.00","0.0","45","55","34"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-22","6.71","0.00","0.0","46","53","39"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-23","6.71","0.00","0.0","44","54","34"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-24","4.92","0.00","0.0","46","55","37"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-25","3.80","0.00","0.0","51","62","40"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-26","8.50","0.00","0.0","53","66","40"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-27","5.37","0.00","0.0","52","64","39"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-28","8.50","0.00","0.0","59","69","49"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-29","6.49","0.00","0.0","58","68","48"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-30","3.13","0.00","0.0","58","73","43"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-05-31","4.47","0.00","0.0","61","74","48"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-01","6.04","0.05","0.0","52","59","44"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-02","8.28","0.00","0.0","52","60","43"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-03","7.16","0.00","0.0","54","64","44"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-04","4.92","0.00","0.0","58","73","43"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-05","5.82","0.00","0.0","61","77","45"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-06","4.47","0.46","0.0","56","63","49"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-07","5.82","0.07","0.0","50","56","44"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-08","4.03","0.00","0.0","57","66","47"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-09","3.80","0.00","0.0","61","75","46"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-10","2.91","0.00","0.0","65","80","50"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-11","15.43","0.00","0.0","65","73","57"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-12","11.63","0.00","0.0","60","70","50"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-13","13.20","0.00","0.0","57","65","48"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-14","5.14","0.00","0.0","61","72","49"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-15","6.49","0.00","0.0","60","74","46"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-16","8.50","0.00","0.0","62","71","53"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-17","5.82","0.00","0.0","62","76","48"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-18","12.30","0.00","0.0","61","66","56"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-19","8.95","0.00","0.0","63","72","53"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-20","6.26","0.00","0.0","64","75","53"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-21","6.04","0.00","0.0","64","75","52"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-22","6.49","0.00","0.0","65","74","56"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-23","4.03","0.00","0.0","64","78","50"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-24","4.70","0.00","0.0","62","71","52"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-25","3.58","0.00","0.0","61","70","52"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-26","5.37","0.00","0.0","58","68","48"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-27","4.03","0.00","0.0","62","72","51"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-28","3.13","0.03","0.0","62","73","51"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-29","5.59","0.00","0.0","65","78","51"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-06-30","3.80","0.00","0.0","68","75","61"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-01","4.70","0.01","0.0","68","80","56"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-02","6.26","0.15","0.0","58","65","50"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-03","7.38","0.12","0.0","56","63","49"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-04","5.14","0.01","0.0","61","71","51"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-05","4.47","0.00","0.0","66","80","52"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-06","6.93","0.04","0.0","66","73","59"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-07","6.71","0.00","0.0","61","67","54"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-08","3.36","0.00","0.0","66","80","51"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-09","6.04","0.00","0.0","71","85","56"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-10","4.47","0.28","0.0","65","70","59"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-11","2.68","0.00","0.0","68","77","59"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-12","8.05","0.08","0.0","67","75","58"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-13","4.47","0.13","0.0","61","65","57"
